distance,distance_ratio,error_code,exact_path_overlap_rate,fallback_used,found,frontier_revisit_rate,heuristic_reversal_rate,nodes,parallel_steps,peak_memory_kib,preprocessing_time_ms,preprocessing_work,query_time_ms,query_work,reentry_count,reentry_count_trace,reentry_survival_mean,reentry_survival_min,requested_nodes,seed,solver,switch_count,switch_distance_mean,topology,total_time_ms,total_work,trace_events
38.0,1.0,,0.14634146341463414,True,True,0.0,0.375,374,81,0.0,0.10223400022368878,374,0.5745970001953538,79,0,0,0,0,400,1,mrpc_dg5_switchback,1,0,culdesac,0.6770810005036765,453,47
38.0,1.0,,,False,True,,,374,374,85.9140625,0.0,0,2.5514480003039353,1360,0,,,,400,1,dijkstra,0,,culdesac,2.5514480003039353,1360,
38.0,1.0,,,False,True,,,374,335,164.8203125,0.0,0,5.222687999776099,1227,0,,,,400,1,bidirectional_dijkstra,0,,culdesac,5.222687999776099,1227,
38.0,1.0,,,False,True,,,374,331,66.5234375,0.0,0,2.1291309994921903,1209,0,,,,400,1,astar,0,,culdesac,2.1291309994921903,1209,
38.0,1.0,,0.14634146341463414,True,True,0.0,0.375,374,81,0.0,0.10341599954699632,374,0.6417280001187464,79,0,0,0,0,400,2,mrpc_dg5_switchback,1,0,culdesac,0.74535499970807,453,47
38.0,1.0,,,False,True,,,374,374,85.9140625,0.0,0,2.553171999352344,1360,0,,,,400,2,dijkstra,0,,culdesac,2.553171999352344,1360,
38.0,1.0,,,False,True,,,374,335,164.8203125,0.0,0,4.632629000298039,1227,0,,,,400,2,bidirectional_dijkstra,0,,culdesac,4.632629000298039,1227,
38.0,1.0,,,False,True,,,374,331,66.5234375,0.0,0,2.1569939999608323,1209,0,,,,400,2,astar,0,,culdesac,2.1569939999608323,1209,
58.0,1.0,,0.0,False,True,1.0,0.0,861,89,0.0,0.29162000009819167,861,0.5645109995384701,87,0,0,0,0,900,0,mrpc_dg5_switchback,0,0,culdesac,0.8563619994674809,948,4
58.0,1.0,,,False,True,,,861,861,137.2734375,0.0,0,7.254683999235567,3242,0,,,,900,0,dijkstra,0,,culdesac,7.254683999235567,3242,
58.0,1.0,,,False,True,,,861,779,447.7578125,0.0,0,14.019817999724182,2945,0,,,,900,0,bidirectional_dijkstra,0,,culdesac,14.019817999724182,2945,
58.0,1.0,,,False,True,,,861,761,140.234375,0.0,0,6.567918000655482,2874,0,,,,900,0,astar,0,,culdesac,6.567918000655482,2874,
58.0,1.0,,0.0,False,True,1.0,0.0,861,89,0.0,0.27334200058248825,861,0.5492889995366568,87,0,0,0,0,900,1,mrpc_dg5_switchback,0,0,culdesac,0.8230520006691222,948,4
58.0,1.0,,,False,True,,,861,861,137.2734375,0.0,0,7.287102000191226,3242,0,,,,900,1,dijkstra,0,,culdesac,7.287102000191226,3242,
58.0,1.0,,,False,True,,,861,779,447.7578125,0.0,0,14.243124999666179,2945,0,,,,900,1,bidirectional_dijkstra,0,,culdesac,14.243124999666179,2945,
58.0,1.0,,,False,True,,,861,761,140.234375,0.0,0,6.731153000146151,2874,0,,,,900,1,astar,0,,culdesac,6.731153000146151,2874,
58.0,1.0,,0.0,False,True,1.0,0.0,861,89,0.0,0.26271699971402995,861,0.5545160001929617,87,0,0,0,0,900,2,mrpc_dg5_switchback,0,0,culdesac,0.8174929998858715,948,4
58.0,1.0,,,False,True,,,861,861,137.2734375,0.0,0,7.503408000047784,3242,0,,,,900,2,dijkstra,0,,culdesac,7.503408000047784,3242,
58.0,1.0,,,False,True,,,861,779,447.7578125,0.0,0,13.804172999698494,2945,0,,,,900,2,bidirectional_dijkstra,0,,culdesac,13.804172999698494,2945,
58.0,1.0,,,False,True,,,861,761,140.234375,0.0,0,6.664253000053577,2874,0,,,,900,2,astar,0,,culdesac,6.664253000053577,2874,
78.0,1.0,,0.0,False,True,1.0,0.0,1548,157,0.0,0.4988529999536695,1548,0.9797669999898062,155,0,0,0,0,1600,0,mrpc_dg5_switchback,0,0,culdesac,1.4788109992878162,1703,4
78.0,1.0,,,False,True,,,1548,1548,339.3984375,0.0,0,14.251618000344024,5924,0,,,,1600,0,dijkstra,0,,culdesac,14.251618000344024,5924,
78.0,1.0,,,False,True,,,1548,1408,747.03125,0.0,0,26.888669999607373,5403,0,,,,1600,0,bidirectional_dijkstra,0,,culdesac,26.888669999607373,5403,
78.0,1.0,,,False,True,,,1548,1370,343.875,0.0,0,13.034111999331799,5254,0,,,,1600,0,astar,0,,culdesac,13.034111999331799,5254,
78.0,1.0,,0.0,False,True,1.0,0.0,1548,157,0.0,0.49948400010180194,1548,0.9845940003287978,155,0,0,0,0,1600,1,mrpc_dg5_switchback,0,0,culdesac,1.484309000261419,1703,4
78.0,1.0,,,False,True,,,1548,1548,339.3984375,0.0,0,14.416736999919522,5924,0,,,,1600,1,dijkstra,0,,culdesac,14.416736999919522,5924,
78.0,1.0,,,False,True,,,1548,1408,747.03125,0.0,0,26.593323999804852,5403,0,,,,1600,1,bidirectional_dijkstra,0,,culdesac,26.593323999804852,5403,
78.0,1.0,,,False,True,,,1548,1370,343.875,0.0,0,12.85280799947941,5254,0,,,,1600,1,astar,0,,culdesac,12.85280799947941,5254,
78.0,1.0,,0.0,False,True,1.0,0.0,1548,157,0.0,0.4998640006306232,1548,0.9754819993759156,155,0,0,0,0,1600,2,mrpc_dg5_switchback,0,0,culdesac,1.4755660004084348,1703,4
78.0,1.0,,,False,True,,,1548,1548,339.3984375,0.0,0,14.355485000123736,5924,0,,,,1600,2,dijkstra,0,,culdesac,14.355485000123736,5924,
78.0,1.0,,,False,True,,,1548,1408,747.03125,0.0,0,26.967337999849406,5403,0,,,,1600,2,bidirectional_dijkstra,0,,culdesac,26.967337999849406,5403,
78.0,1.0,,,False,True,,,1548,1370,343.875,0.0,0,13.09426199986774,5254,0,,,,1600,2,astar,0,,culdesac,13.09426199986774,5254,
inf,1.0,DISCONNECTED_PRECHECK,0.0,False,False,1.0,0.0,380,1,0.0,0.10475800081621855,380,0.1772579998942092,1,0,0,0,0,400,0,mrpc_dg5_switchback,0,0,disconnected,0.1772579998942092,1,0
inf,1.0,,,False,False,,,380,200,34.8671875,0.0,0,1.0907060004683444,740,0,,,,400,0,dijkstra,0,,disconnected,1.0907060004683444,740,
inf,1.0,,,False,False,,,380,379,179.5234375,0.0,0,5.178661999707401,1400,0,,,,400,0,bidirectional_dijkstra,0,,disconnected,5.178661999707401,1400,
inf,1.0,,,False,False,,,380,200,33.078125,0.0,0,0.986867999927199,740,0,,,,400,0,astar,0,,disconnected,0.986867999927199,740,
inf,1.0,DISCONNECTED_PRECHECK,0.0,False,False,1.0,0.0,380,1,0.0,0.10420699982205406,380,0.16925599993555807,1,0,0,0,0,400,1,mrpc_dg5_switchback,0,0,disconnected,0.16925599993555807,1,0
inf,1.0,,,False,False,,,380,200,34.8671875,0.0,0,1.0842060000868514,740,0,,,,400,1,dijkstra,0,,disconnected,1.0842060000868514,740,
inf,1.0,,,False,False,,,380,379,179.5234375,0.0,0,5.150518999471387,1400,0,,,,400,1,bidirectional_dijkstra,0,,disconnected,5.150518999471387,1400,
inf,1.0,,,False,False,,,380,200,33.078125,0.0,0,1.0089820007124217,740,0,,,,400,1,astar,0,,disconnected,1.0089820007124217,740,
inf,1.0,DISCONNECTED_PRECHECK,0.0,False,False,1.0,0.0,380,1,0.0,0.10144299994863104,380,0.1633869997021975,1,0,0,0,0,400,2,mrpc_dg5_switchback,0,0,disconnected,0.1633869997021975,1,0
