case_id,distance,found,gate_action,gate_reasons,path_distance,quality_guard_replaced,quality_guard_used,reentry_count,requested_nodes,seed,switch_count,topology,total_time_ms,total_work,valid,variant
60,5.0,True,,,5.0,False,False,0,400,1,1,scale_free_pos,11.89893600007963,788,True,base
60,4.0,True,EXACT_PRECHECK,HUB_DOMINANT;GEOMETRY_WEIGHT_MISMATCH,4.0,False,False,0,400,1,0,scale_free_pos,26.878334000002724,2850,True,gate
61,5.0,True,,,5.0,False,False,0,400,1,1,scale_free_no_pos,6.817394999984572,609,True,base
61,4.0,True,EXACT_PRECHECK,NO_GEOMETRY;HUB_DOMINANT,4.0,False,False,0,400,1,0,scale_free_no_pos,4.174941999963266,2850,True,gate
62,1.5035409928056003,True,,,1.5035409928056003,False,False,0,400,2,0,random_geometric,2.6455479999185627,440,True,base
62,1.5035409928056003,True,,,1.5035409928056003,False,False,0,400,2,0,random_geometric,37.23447600009422,4158,True,gate
63,2.406537626604011,True,,,2.406537626604011,False,False,0,400,2,1,clustered,15.193017999990843,752,True,base
63,2.2952626198152504,True,MRPC_FAST_PATH;QUALITY_GUARD_EXACT_REPLACE,,2.2952626198152504,True,True,0,400,2,1,clustered,63.25700100001086,7777,True,gate
64,4.0,True,,,4.0,False,False,0,400,2,1,scale_free_pos,10.553980000054253,739,True,base
64,4.0,True,EXACT_PRECHECK,HUB_DOMINANT;GEOMETRY_WEIGHT_MISMATCH,4.0,False,False,0,400,2,0,scale_free_pos,26.698344000010366,2825,True,gate
65,5.0,True,,,5.0,False,False,0,400,2,1,scale_free_no_pos,9.804505000033714,783,True,base
65,4.0,True,EXACT_PRECHECK,NO_GEOMETRY;HUB_DOMINANT,4.0,False,False,0,400,2,0,scale_free_no_pos,5.564556000081211,2825,True,gate
66,1.486488004265901,True,,,1.486488004265901,False,False,0,900,0,0,random_geometric,6.76150099991446,990,True,base
66,1.486488004265901,True,,,1.486488004265901,False,False,0,900,0,0,random_geometric,91.9428859999698,9346,True,gate
67,2.57732529555027,True,,,2.57732529555027,False,False,1,900,0,2,clustered,39.50057500003368,1759,True,base
67,1.7450943235157292,True,MRPC_FAST_PATH;QUALITY_GUARD_EXACT_REPLACE,,1.7450943235157292,True,True,1,900,0,2,clustered,161.8032650000032,15634,True,gate
68,5.0,True,,,5.0,False,False,0,900,0,1,scale_free_pos,12.622996000004605,1150,True,base
68,4.0,True,EXACT_PRECHECK,HUB_DOMINANT;GEOMETRY_WEIGHT_MISMATCH,4.0,False,False,0,900,0,0,scale_free_pos,67.09454399992865,6356,True,gate
69,4.0,True,,,4.0,False,False,0,900,0,1,scale_free_no_pos,8.662434000029862,1012,True,base
69,4.0,True,EXACT_PRECHECK,NO_GEOMETRY;HUB_DOMINANT,4.0,False,False,0,900,0,0,scale_free_no_pos,14.83694600005947,6356,True,gate
70,1.4923751271343466,True,,,1.4923751271343466,False,False,0,900,1,0,random_geometric,6.277395999973123,990,True,base
70,1.4923751271343466,True,,,1.4923751271343466,False,False,0,900,1,0,random_geometric,100.14123099995231,9292,True,gate
71,1.8194450781384797,True,,,1.8194450781384797,False,False,1,900,1,2,clustered,34.50128500003302,1605,True,base
71,1.3499512832440772,True,MRPC_FAST_PATH;QUALITY_GUARD_EXACT_REPLACE,,1.3499512832440772,True,True,1,900,1,2,clustered,152.26739000002,15196,True,gate
72,7.0,True,,,7.0,False,False,0,900,1,1,scale_free_pos,32.78939699998773,1782,True,base
72,4.0,True,EXACT_PRECHECK,HUB_DOMINANT;GEOMETRY_WEIGHT_MISMATCH,4.0,False,False,0,900,1,0,scale_free_pos,67.79976699999679,6350,True,gate
73,6.0,True,,,6.0,False,False,0,900,1,1,scale_free_no_pos,28.70371000005889,1828,True,base
73,4.0,True,EXACT_PRECHECK,NO_GEOMETRY;HUB_DOMINANT,4.0,False,False,0,900,1,0,scale_free_no_pos,17.29722299990044,6350,True,gate
74,1.652906049766085,True,,,1.652906049766085,False,False,0,900,2,0,random_geometric,6.539819999943575,990,True,base
74,1.652906049766085,True,,,1.652906049766085,False,False,0,900,2,0,random_geometric,96.31972599993333,9424,True,gate
75,4.09889871185118,True,,,4.09889871185118,False,False,1,900,2,2,clustered,59.27730399992015,2044,True,base
75,1.9488229101373105,True,MRPC_FAST_PATH;QUALITY_GUARD_EXACT_REPLACE,,1.9488229101373105,True,True,1,900,2,2,clustered,197.50097700000424,16617,True,gate
76,6.0,True,,,6.0,False,False,0,900,2,1,scale_free_pos,38.944741999898724,1777,True,base
76,4.0,True,EXACT_PRECHECK,HUB_DOMINANT;GEOMETRY_WEIGHT_MISMATCH,4.0,False,False,0,900,2,0,scale_free_pos,85.11207999993076,6335,True,gate
77,5.0,True,,,5.0,False,False,0,900,2,1,scale_free_no_pos,23.1769690000192,1354,True,base
77,4.0,True,EXACT_PRECHECK,NO_GEOMETRY;HUB_DOMINANT,4.0,False,False,0,900,2,0,scale_free_no_pos,19.891394999945078,6335,True,gate
