barrier_count,case_id,critical_path_ops,distance_ratio,error_code,found,logical_rounds,max_parallel_width,mean_parallel_width,nodes,reentry_count,requested_nodes,seed,serial_fraction,solver,switch_count,topology,total_work,valid,wall_ms,worker_utilization,workers
134,15,698,1.8205128205128205,,True,564,2,1.9850746268656716,1522,1,1600,1,0.335,dg5_bulk,1,double_wall,2637,True,6.046380000043428,0.9925373134328358,2
80,15,375,1.6153846153846154,,True,295,4,3.825,1522,1,1600,1,0.20725388601036268,dg5_bulk,1,double_wall,2652,True,6.269706999773916,0.95625,4
67,15,329,1.641025641025641,,True,262,8,7.014925373134329,1522,3,1600,1,0.12476722532588454,dg5_bulk,3,double_wall,3134,True,8.20319299964467,0.8768656716417911,8
4762,16,4762,1.0,,True,4762,1,1,4762,,4900,0,1,dijkstra,,double_wall,18490,True,48.68704699947557,1,1
4740,16,4740,1.0,,True,4740,1,1,4762,,4900,0,1,bidir,,double_wall,18406,True,121.29823600025702,1,1
4759,16,4759,1.0,,True,4759,1,1,4762,,4900,0,1,astar,,double_wall,18482,True,48.89346900017699,1,1
644,16,5637,1.0,,True,4993,1,1.0,4762,1,4900,0,0.5,dg5_bulk,1,double_wall,9752,True,27.858450000167068,1.0,1
356,16,2897,1.0,,True,2541,2,1.9943820224719102,4762,1,4900,0,0.3339587242026266,dg5_bulk,1,double_wall,9819,True,27.997319999485626,0.9971910112359551,2
238,16,1580,1.0,,True,1342,4,3.9495798319327733,4762,1,4900,0,0.20203735144312393,dg5_bulk,1,double_wall,10049,True,28.062759000022197,0.9873949579831933,4
170,16,964,1.0,,True,794,8,7.682352941176471,4762,2,4900,0,0.11517615176151762,dg5_bulk,2,double_wall,10684,True,33.282071000030555,0.9602941176470589,8
3474,17,3474,1.0,,True,3474,1,1,4762,,4900,1,1,dijkstra,,double_wall,13473,True,35.95063600005233,1,1
4188,17,4188,1.0,,True,4188,1,1,4762,,4900,1,1,bidir,,double_wall,16292,True,88.72327600056451,1,1
3198,17,3198,1.0,,True,3198,1,1,4762,,4900,1,1,astar,,double_wall,12393,True,33.17894499923568,1,1
644,17,3894,1.826086956521739,,True,3250,1,1.0,4762,1,4900,1,0.5,dg5_bulk,1,double_wall,8011,True,19.071757000347134,1.0,1
336,17,1984,1.826086956521739,,True,1648,2,1.994047619047619,4762,1,4900,1,0.33399602385685884,dg5_bulk,1,double_wall,8034,True,18.784893999509222,0.9970238095238095,2
218,17,1103,1.826086956521739,,True,885,4,3.944954128440367,4762,1,4900,1,0.20222634508348794,dg5_bulk,1,double_wall,8224,True,22.70502699957433,0.9862385321100917,4
147,17,699,1.8405797101449275,,True,552,8,7.63265306122449,4762,2,4900,1,0.11583924349881797,dg5_bulk,2,double_wall,8756,True,28.258313000151247,0.9540816326530612,8
346,18,346,1.0,,True,346,1,1,346,,400,0,1,dijkstra,,spiral,1188,True,2.655545999914466,1,1
236,18,236,1.0,,True,236,1,1,346,,400,0,1,bidir,,spiral,782,True,2.9406359999484266,1,1
346,18,346,1.0,,True,346,1,1,346,,400,0,1,astar,,spiral,1188,True,2.6212040002064896,1,1
35,18,371,1.5789473684210527,,True,336,1,1.0,346,0,400,0,0.5,dg5_bulk,1,spiral,679,True,2.4821739998515113,1.0,1
34,18,275,1.5789473684210527,,True,241,2,1.9411764705882353,346,1,400,0,0.34,dg5_bulk,2,spiral,802,True,2.582355000413372,0.9705882352941176,2
