case_id,critical_path_speedup,distance_ratio,efficiency,found,logical_speedup,nodes,serial_fraction,topology,valid,wall_speedup,worker_utilization,workers
21,2.724699828473413,1.0,0.3420154686078253,True,2.7361237488626022,1356,0.6567164179104478,spiral,True,1.1707600337691204,0.8582089552238806,8
22,1.0,1.0,1.0,True,1.0,4028,0.8627892030848329,spiral,True,1.0,1.0,1
22,1.5250140528386733,1.0,0.7602523659305994,True,1.5205047318611988,4028,0.827755905511811,spiral,True,1.0341536994235807,0.9887218045112782,2
22,2.0322097378277153,1.0,0.5088413829506466,True,2.0353655318025865,4028,0.7478839177750907,spiral,True,1.0089433881642282,0.9652777777777778,4
22,2.477625570776256,1.0,0.30729996812240995,True,2.4583997449792796,4028,0.6868398515558093,spiral,True,1.0164900900781744,0.9265202702702703,8
23,1.0,1.0,1.0,True,1.0,4028,0.8627892030848329,spiral,True,1.0,1.0,1
23,1.5250140528386733,1.0,0.7602523659305994,True,1.5205047318611988,4028,0.827755905511811,spiral,True,1.1227220605896429,0.9887218045112782,2
23,2.0322097378277153,1.0,0.5088413829506466,True,2.0353655318025865,4028,0.7478839177750907,spiral,True,1.0922025800499056,0.9652777777777778,4
23,2.477625570776256,1.0,0.30729996812240995,True,2.4583997449792796,4028,0.6868398515558093,spiral,True,1.091208598100231,0.9265202702702703,8
24,1.0,1.0460231495393717,1.0,True,1.0,400,0.5,random_geometric,True,1.0,1.0,1
24,1.9047619047619047,1.0407818341235735,0.9523809523809523,True,1.9047619047619047,400,0.3442622950819672,random_geometric,True,0.9612244865502141,0.9523809523809523,2
24,0.7339449541284404,1.0422354992065812,0.11494252873563218,True,0.45977011494252873,400,0.21568627450980393,random_geometric,True,0.2580412184215814,0.9090909090909091,4
24,0.6956521739130435,1.0580673145716757,0.04950495049504951,True,0.39603960396039606,400,0.14893617021276595,random_geometric,True,0.19249322016919587,0.7142857142857143,8
25,1.0,1.1218586769631131,1.0,True,1.0,400,0.5,clustered,True,1.0,1.0,1
25,1.6023622047244095,1.5234156151506406,0.9127358490566038,True,1.8254716981132075,400,0.3442622950819672,clustered,True,1.134459091147227,0.9523809523809523,2
25,2.806896551724138,1.0420776293726255,0.7385496183206107,True,2.954198473282443,400,0.23333333333333334,clustered,True,1.3003729073126595,0.8214285714285714,4
25,3.6339285714285716,1.0420776293726255,0.4742647058823529,True,3.7941176470588234,400,0.17857142857142858,clustered,True,1.1985416797988089,0.575,8
26,1.0,1.6666666666666667,1.0,True,1.0,400,0.5,scale_free,True,1.0,1.0,1
26,1.9948979591836735,1.6666666666666667,1.002659574468085,True,2.00531914893617,400,0.34782608695652173,scale_free,True,0.8552530235839532,0.9375,2
26,3.989795918367347,1.6666666666666667,1.0134408602150538,True,4.053763440860215,400,0.23809523809523808,scale_free,True,0.8161931928219008,0.8,4
26,7.979591836734694,1.6666666666666667,1.0472222222222223,True,8.377777777777778,400,0.16666666666666666,scale_free,True,0.8121375383370331,0.625,8
27,1.0,1.0463651021292588,1.0,True,1.0,400,0.5,random_geometric,True,1.0,1.0,1
27,1.9047619047619047,1.0541318634219354,0.9523809523809523,True,1.9047619047619047,400,0.3442622950819672,random_geometric,True,0.9960105954146254,0.9523809523809523,2
27,0.7339449541284404,1.0347448696087034,0.11494252873563218,True,0.45977011494252873,400,0.21568627450980393,random_geometric,True,0.2627447657772574,0.9090909090909091,4
27,0.5063291139240507,1.014949641383881,0.036231884057971016,True,0.2898550724637681,400,0.16260162601626016,random_geometric,True,0.17161731720507986,0.64375,8
28,1.0,2.1177115084737506,1.0,True,1.0,400,0.5,clustered,True,1.0,1.0,1
28,1.8054968287526427,2.1177115084737506,0.9142538975501113,True,1.8285077951002227,400,0.34285714285714286,clustered,True,1.0553845513056566,0.9583333333333334,2
28,2.8949152542372882,2.238952014814589,0.7518315018315018,True,3.0073260073260073,400,0.21568627450980393,clustered,True,0.9479267001818494,0.9090909090909091,4
28,8.895833333333334,1.1505649069516943,1.1530898876404494,True,9.224719101123595,400,0.14893617021276595,clustered,True,1.4191004601301986,0.7142857142857143,8
29,1.0,1.25,1.0,True,1.0,400,0.5,scale_free,True,1.0,1.0,1
29,2.0841121495327104,1.25,1.0555555555555556,True,2.111111111111111,400,0.34782608695652173,scale_free,True,1.0158855521293138,0.9375,2
29,2.3229166666666665,1.25,0.5741758241758241,True,2.2967032967032965,400,0.23809523809523808,scale_free,True,0.7625083965106901,0.8,4
29,4.054545454545455,1.25,0.5122549019607843,True,4.098039215686274,400,0.16666666666666666,scale_free,True,0.9356097544780146,0.625,8
30,1.0,1.054314206700276,1.0,True,1.0,900,0.5,random_geometric,True,1.0,1.0,1
30,1.9565217391304348,1.0421074527079635,0.9782608695652174,True,1.9565217391304348,900,0.3382352941176471,random_geometric,True,1.0096887097287146,0.9782608695652174,2
30,3.3333333333333335,1.015136487164821,0.75,True,3.0,900,0.21052631578947367,random_geometric,True,0.7791843183358719,0.9375,4
30,1.44,1.0175825979213737,0.11363636363636363,True,0.9090909090909091,900,0.1262135922330097,random_geometric,True,0.3156022251981692,0.8653846153846154,8
31,1.0,1.4768974151253318,1.0,True,1.0,900,0.5,clustered,True,1.0,1.0,1
31,1.8113207547169812,1.4994874084973027,0.903954802259887,True,1.807909604519774,900,0.34,clustered,True,0.9254121446593997,0.9705882352941176,2
31,2.986666666666667,1.3912041536567865,0.7494145199063232,True,2.997658079625293,900,0.21100917431192662,clustered,True,0.8514964988950798,0.9347826086956522,4
31,3.9881305637982196,1.461924253428603,0.5063291139240507,True,4.050632911392405,900,0.12883435582822086,clustered,True,0.9342191103166405,0.8452380952380952,8
32,1.0,1.0,1.0,True,1.0,900,0.5,scale_free,True,1.0,1.0,1
32,2.2857142857142856,1.0,1.2173913043478262,True,2.4347826086956523,900,0.34,scale_free,True,1.0820874084965737,0.9705882352941176,2
