case_id,config,distance_ratio,emergency,exact_match,first_path_work,found,nodes,quality_budget_used,repair,seed,steps,strategy,target_work,time_ms,topology,total_work,valid,within_10pct,work_goal_ratio
77,lean_a,1.0,False,True,,True,900,0,False,2,5,hub_aware,450,5.951797999841801,scale_free_no_pos,432,True,True,0.48
0,lean_b,1.0,False,True,39,True,400,161,False,0,4,geometric_corridor,200,3.3776039999793284,open,200,True,True,0.5
1,lean_b,1.0,False,True,39,True,400,161,False,1,4,geometric_corridor,200,2.965728000162926,open,200,True,True,0.5
2,lean_b,1.0,False,True,39,True,400,161,False,2,4,geometric_corridor,200,2.949023999462952,open,200,True,True,0.5
3,lean_b,1.0,False,True,79,True,1600,721,False,0,6,geometric_corridor,800,12.966543000402453,open,800,True,True,0.5
4,lean_b,1.0,False,True,79,True,1600,721,False,1,6,geometric_corridor,800,12.18575700022484,open,800,True,True,0.5
5,lean_b,1.0,False,True,79,True,1600,721,False,2,6,geometric_corridor,800,12.30923100047221,open,800,True,True,0.5
6,lean_b,0.9999999999999999,False,True,283,True,400,0,False,0,113,weighted_cost,200,1.966957000149705,weighted_noise,283,True,True,0.7075
7,lean_b,0.9999999999999999,False,True,284,True,400,0,False,1,117,weighted_cost,200,1.9054160002269782,weighted_noise,284,True,True,0.71
8,lean_b,1.0,False,True,278,True,400,0,False,2,117,weighted_cost,200,1.865005000581732,weighted_noise,278,True,True,0.695
9,lean_b,0.9999999999999999,False,True,1152,True,1600,0,False,0,478,weighted_cost,800,8.844607000355609,weighted_noise,1152,True,True,0.72
10,lean_b,1.0055542845825622,False,False,1152,True,1600,0,False,1,471,weighted_cost,800,8.911838000130956,weighted_noise,1152,True,True,0.72
11,lean_b,1.04527567976037,False,False,,True,1600,0,False,2,10,weighted_cost,800,16.7420409998158,weighted_noise,1152,True,True,0.72
12,lean_b,1.0,False,True,39,True,381,152,False,0,4,geometric_corridor,191,2.842744999725255,wall,191,True,True,0.5013123359580053
13,lean_b,1.0,False,True,39,True,381,152,False,1,4,geometric_corridor,191,2.7989390000584535,wall,191,True,True,0.5013123359580053
14,lean_b,1.0,False,True,39,True,381,152,False,2,4,geometric_corridor,191,2.8311979995123693,wall,191,True,True,0.5013123359580053
15,lean_b,1.0,False,True,79,True,1561,702,False,0,6,geometric_corridor,781,11.9394490002378,wall,781,True,True,0.5003203074951954
16,lean_b,1.0,False,True,79,True,1561,702,False,1,6,geometric_corridor,781,12.218025000038324,wall,781,True,True,0.5003203074951954
17,lean_b,1.0,False,True,84,True,1561,697,False,2,6,geometric_corridor,781,11.872538999341486,wall,781,True,True,0.5003203074951954
18,lean_b,1.0,True,True,,True,362,0,False,0,15,geometric_corridor,181,6.374358999892138,double_wall,488,True,True,1.3480662983425415
19,lean_b,1.0,False,True,,True,362,0,False,1,7,geometric_corridor,181,5.234266000115895,double_wall,195,True,True,0.5386740331491713
20,lean_b,1.0,True,True,,True,362,0,False,2,15,geometric_corridor,181,6.387458000062907,double_wall,488,True,True,1.3480662983425415
21,lean_b,1.0,True,True,,True,1522,0,False,0,57,geometric_corridor,761,27.0580449996487,double_wall,2069,True,True,1.3593955321944808
22,lean_b,1.0,True,True,,True,1522,0,False,1,40,geometric_corridor,761,26.48081400002411,double_wall,1670,True,True,1.0972404730617609
23,lean_b,1.0,True,True,,True,1522,0,False,2,57,geometric_corridor,761,27.158834999681858,double_wall,2069,True,True,1.3593955321944808
24,lean_b,1.0,False,True,39,True,368,145,False,0,4,geometric_corridor,184,2.735785000368196,u_shape,184,True,True,0.5
25,lean_b,1.0,False,True,39,True,368,145,False,1,4,geometric_corridor,184,2.690948999770626,u_shape,184,True,True,0.5
26,lean_b,1.0,False,True,39,True,368,145,False,2,4,geometric_corridor,184,2.6754750006148242,u_shape,184,True,True,0.5
27,lean_b,1.0,False,True,79,True,1538,690,False,0,6,geometric_corridor,769,11.697156999616709,u_shape,769,True,True,0.5
28,lean_b,1.0,False,True,79,True,1538,690,False,1,6,geometric_corridor,769,11.633721999714908,u_shape,769,True,True,0.5
29,lean_b,1.0,False,True,79,True,1538,690,False,2,6,geometric_corridor,769,11.796925999988161,u_shape,769,True,True,0.5
30,lean_b,1.0,False,True,39,True,370,146,False,0,4,geometric_corridor,185,2.7600420007729554,culdesac,185,True,True,0.5
31,lean_b,1.0,False,True,39,True,370,146,False,1,4,geometric_corridor,185,2.705959999730112,culdesac,185,True,True,0.5
32,lean_b,1.0,False,True,39,True,370,146,False,2,4,geometric_corridor,185,2.744468999480887,culdesac,185,True,True,0.5
33,lean_b,1.0,False,True,79,True,1540,691,False,0,6,geometric_corridor,770,11.646502000075998,culdesac,770,True,True,0.5
34,lean_b,1.0,False,True,79,True,1540,691,False,1,6,geometric_corridor,770,11.732650000340072,culdesac,770,True,True,0.5
35,lean_b,1.0,False,True,79,True,1540,691,False,2,6,geometric_corridor,770,11.743916999876092,culdesac,770,True,True,0.5
