_beam_astar_path_calls,_beam_astar_path_ms,_budgeted_bidirectional_dijkstra_calls,_budgeted_bidirectional_dijkstra_ms,_budgeted_dijkstra_calls,_budgeted_dijkstra_ms,_candidate_result_calls,_candidate_result_ms,_choose_strategy_calls,_choose_strategy_ms,_corridor_nodes_calls,_corridor_nodes_ms,_expand_by_hops_calls,_expand_by_hops_ms,_geometric_corridor_strategy_calls,_geometric_corridor_strategy_ms,_graph_features_calls,_graph_features_ms,_greedy_geometric_path_calls,_greedy_geometric_path_ms,_hub_aware_strategy_calls,_hub_aware_strategy_ms,_local_repair_calls,_local_repair_ms,_long_edge_portal_endpoints_calls,_long_edge_portal_endpoints_ms,_portal_strategy_calls,_portal_strategy_ms,_weighted_astar_calls,_weighted_astar_ms,_weighted_cost_strategy_calls,_weighted_cost_strategy_ms,case_id,edges,elapsed_ms,emergency,first_path_work,found,nodes,path_distance_calls,path_distance_ms,quality_budget_used,ratio,repair,result_time_ms,seed,strategy,target_work,topology,within10,work
1,0.1246069996341248,,,2,0.10109100003319327,2,0.10358500003349036,1,0.0014030001693754457,1,0.5057099997429759,,,1,0.751718999708828,1,0.728385000002163,,,,,,,,,,,,,,,25,663,1.5046709995658603,False,39,True,368,1,0.008413000614382327,127,1.0,False,1.4957270004742895,1,geometric_corridor,166,u_shape,True,166
1,0.13138699978298973,,,2,0.09940000109054381,2,0.10138200013898313,1,0.0010120002116309479,1,0.49124799988931045,,,1,0.7409829995594919,1,0.7345439998971415,,,,,,,,,,,,,,,26,663,1.501966999967408,False,39,True,368,1,0.008392999916395638,127,1.0,False,1.4911100006429479,2,geometric_corridor,166,u_shape,True,166
1,0.28507899969554273,,,3,0.5956249997325358,3,0.599791000240657,1,0.0015129999155760743,1,2.0773420001205523,,,1,2.9949299996587797,1,1.2310900001466507,,,,,,,,,,,,,,,27,2933,4.270716000064567,False,79,True,1538,1,0.020020000192744192,614,1.0,False,4.256444999555242,0,geometric_corridor,693,u_shape,True,693
1,0.27539399980014423,,,3,0.590316999478091,3,0.5947639992882614,1,0.001972999598365277,1,2.0865449996563257,,,1,2.98912099970039,1,1.2089069996363833,,,,,,,,,,,,,,,28,2933,4.2445480003152625,False,79,True,1538,1,0.018908999663835857,614,1.0,False,4.228183000122954,1,geometric_corridor,693,u_shape,True,693
1,0.2968159997180919,,,3,0.6263000004764763,3,0.6307579997155699,1,0.0013720000424655154,1,2.0960600004400476,,,1,3.0579140002373606,1,1.368344999718829,,,,,,,,,,,,,,,29,2933,4.486701999667275,False,79,True,1538,1,0.019770000108110253,614,1.0,False,4.459069999938947,2,geometric_corridor,693,u_shape,True,693
1,0.1955640000232961,,,2,0.10131300041393843,2,0.10366599963163026,1,0.001823000275180675,1,0.5379280000852305,,,1,0.8574389994464582,1,0.9051299994098372,,,,,,,,,,,,,,,30,669,1.7937849997906596,False,39,True,370,1,0.00921300033951411,128,1.0,False,1.7808759994295542,0,geometric_corridor,167,culdesac,True,167
1,0.13217899959272472,,,2,0.11063699912483571,2,0.11273899963271106,1,0.0014120005289441906,1,0.4985590003343532,,,1,0.7613340003445046,1,0.7720700004938408,,,,,,,,,,,,,,,31,669,1.561666000270634,False,39,True,370,1,0.00916399949346669,128,1.0,False,1.550360000692308,1,geometric_corridor,167,culdesac,True,167
1,0.12996500026929425,,,2,0.10369600022386294,2,0.10564000058366219,1,0.0013420003597275354,1,0.4835560002902639,,,1,0.7390709997707745,1,0.7333820003623259,,,,,,,,,,,,,,,32,669,1.497089000622509,False,39,True,370,1,0.008533000254828949,128,1.0,False,1.487855000050331,2,geometric_corridor,167,culdesac,True,167
1,0.2880929996535997,,,3,0.5658509999193484,3,0.5698560007658671,1,0.0024840001060510986,1,2.175568999518873,,,1,3.0640639997727703,1,1.2400129999150522,,,,,,,,,,,,,,,33,2939,4.3497659999047755,False,79,True,1540,1,0.01902899930428248,614,1.0,False,4.33469299969147,0,geometric_corridor,693,culdesac,True,693
1,0.3036360003534355,,,3,0.5439070000647916,3,0.5480640002133441,1,0.0017430002117180265,1,2.046174000497558,,,1,2.9289309995874646,1,1.1776589999499265,,,,,,,,,,,,,,,34,2939,4.152078000515758,False,79,True,1540,1,0.018387000636721496,614,1.0,False,4.1360949999216245,1,geometric_corridor,693,culdesac,True,693
1,0.3091340004175436,,,3,0.6691450007565436,3,0.6737729991073138,1,0.0015619998521287926,1,2.1769210006823414,,,1,3.1955409995134687,1,1.1425259999668924,,,,,,,,,,,,,,,35,2939,4.381904000183567,False,79,True,1540,1,0.018077000277116895,614,1.0,False,4.365630000393139,2,geometric_corridor,693,culdesac,True,693
2,0.4530810001597274,1,0.3589990001273691,4,0.07045599886623677,4,0.07432200072798878,1,0.001231999704032205,2,0.787232998845866,2,0.03827799991995562,1,1.2825470003008377,1,0.7198820003395667,1,0.08253400028479518,,,,,1,0.6246890006877948,1,1.5386320001198328,1,0.5377380002755672,1,0.3653289995781961,36,595,3.9435949993276154,False,,True,346,1,0.007801999345247168,0,1.0,False,3.9318770004683756,0,geometric_corridor,156,spiral,True,166
