case_id,distance,distance_ratio,edges,error_code,fallback_used,found,nodes,path_distance,peak_kib_uniform,quality_guard_replaced,quality_guard_used,quality_guard_work,reentry_count,requested_nodes,seed,solver,steps,switch_count,topology,topology_gate_action,topology_gate_reasons,topology_risk_class,topology_risk_score,total_time_ms,total_work,valid
29,78.0,1.0,2933,,False,True,1538,78.0,740.8671875,False,False,0,0,1600,2,bidir,1362,0,u_shape,BASELINE,,,,28.81451900009324,5205,True
29,78.0,1.0,2933,,False,True,1538,78.0,342.96875,False,False,0,0,1600,2,astar,1538,0,u_shape,BASELINE,,,,14.965996999990239,5864,True
29,78.0,1.0,2933,,False,True,1538,78.0,828.52734375,False,False,0,0,1600,2,dg5,156,0,u_shape,BASELINE,,,,79.1283990000693,7558,True
30,38.0,1.0,669,,False,True,370,38.0,85.9609375,False,False,0,0,400,0,dijkstra,367,0,culdesac,BASELINE,,,,2.608573999964392,1328,True
30,38.0,1.0,669,,False,True,370,38.0,161.625,False,False,0,0,400,0,bidir,325,0,culdesac,BASELINE,,,,4.6193220000532165,1181,True
30,38.0,1.0,669,,False,True,370,38.0,65.296875,False,False,0,0,400,0,astar,311,0,culdesac,BASELINE,,,,1.9719489999943107,1125,True
30,38.0,1.0,669,,True,True,370,38.0,193.33984375,False,True,1181,0,400,0,dg5,80,1,culdesac,BASELINE,,,,25.73646500002269,2967,True
31,38.0,1.0,669,,False,True,370,38.0,83.7109375,False,False,0,0,400,1,dijkstra,367,0,culdesac,BASELINE,,,,2.428294000083042,1328,True
31,38.0,1.0,669,,False,True,370,38.0,100.265625,False,False,0,0,400,1,bidir,325,0,culdesac,BASELINE,,,,4.056706999904236,1181,True
31,38.0,1.0,669,,False,True,370,38.0,65.296875,False,False,0,0,400,1,astar,311,0,culdesac,BASELINE,,,,1.9525899999734975,1125,True
31,38.0,1.0,669,,True,True,370,38.0,193.33984375,False,True,1181,0,400,1,dg5,80,1,culdesac,BASELINE,,,,24.586459000033756,2967,True
32,38.0,1.0,669,,False,True,370,38.0,85.9609375,False,False,0,0,400,2,dijkstra,367,0,culdesac,BASELINE,,,,2.5413439999510956,1328,True
32,38.0,1.0,669,,False,True,370,38.0,175.953125,False,False,0,0,400,2,bidir,325,0,culdesac,BASELINE,,,,4.988716000070781,1181,True
32,38.0,1.0,669,,False,True,370,38.0,65.296875,False,False,0,0,400,2,astar,311,0,culdesac,BASELINE,,,,1.9577580000031958,1125,True
32,38.0,1.0,669,,True,True,370,38.0,193.33984375,False,True,1181,0,400,2,dg5,80,1,culdesac,BASELINE,,,,24.835802999973566,2967,True
33,78.0,1.0,2939,,False,True,1540,78.0,339.3046875,False,False,0,0,1600,0,dijkstra,1534,0,culdesac,BASELINE,,,,14.637295000056838,5858,True
33,78.0,1.0,2939,,False,True,1540,78.0,645.1953125,False,False,0,0,1600,0,bidir,1376,0,culdesac,BASELINE,,,,26.906976999953258,5263,True
33,78.0,1.0,2939,,False,True,1540,78.0,266.953125,False,False,0,0,1600,0,astar,1307,0,culdesac,BASELINE,,,,12.429462000000058,4995,True
33,78.0,1.0,2939,,False,True,1540,78.0,873.49609375,False,False,0,0,1600,0,dg5,156,0,culdesac,BASELINE,,,,102.94483799998488,7572,True
34,78.0,1.0,2939,,False,True,1540,78.0,339.3046875,False,False,0,0,1600,1,dijkstra,1534,0,culdesac,BASELINE,,,,14.25945700009379,5858,True
34,78.0,1.0,2939,,False,True,1540,78.0,632.5078125,False,False,0,0,1600,1,bidir,1376,0,culdesac,BASELINE,,,,26.612193999994815,5263,True
34,78.0,1.0,2939,,False,True,1540,78.0,266.953125,False,False,0,0,1600,1,astar,1307,0,culdesac,BASELINE,,,,12.771555000085755,4995,True
34,78.0,1.0,2939,,False,True,1540,78.0,873.49609375,False,False,0,0,1600,1,dg5,156,0,culdesac,BASELINE,,,,102.25935400001163,7572,True
35,78.0,1.0,2939,,False,True,1540,78.0,341.5546875,False,False,0,0,1600,2,dijkstra,1534,0,culdesac,BASELINE,,,,14.664394999954311,5858,True
35,78.0,1.0,2939,,False,True,1540,78.0,742.703125,False,False,0,0,1600,2,bidir,1376,0,culdesac,BASELINE,,,,26.599565000083203,5263,True
35,78.0,1.0,2939,,False,True,1540,78.0,266.953125,False,False,0,0,1600,2,astar,1307,0,culdesac,BASELINE,,,,12.40254099991489,4995,True
35,78.0,1.0,2939,,False,True,1540,78.0,873.49609375,False,False,0,0,1600,2,dg5,156,0,culdesac,BASELINE,,,,101.08340400006455,7572,True
